Title,Author,ISBN,Number of Pages
Python for Excel Power Users,Tracy Stephens,ISBN-13: 9781718503984,220 pp.
"Automate the Boring Stuff with Python, 3rd Edition",Al Sweigart,"ISBN-13: 9781718503403
",392 pp.
"Python Playground, 2nd Edition",Mahesh Venkitachalam,ISBN-13: 9781718503045,448 pp.
"Python for Kids, 2nd Edition",Jason R. Briggs,ISBN-13: 9781718503021,368 pp.
Dive Into Data Science,Bradford Tuckfield,ISBN-13: 9781718502888,288 pp.
"Python Crash Course, 3rd Edition",Eric Matthes,ISBN-13: 9781718502703,552 pp.
Python Tools for Scientists,Lee Vaughan,ISBN-13: 9781718502666,744 pp.
Python for Data Science,Yuli Vasiliev,ISBN-13: 9781718502208,240 pp.
The Art of Clean Code,Christian Mayer,ISBN-13: 978178502185,176 pp.
The Book of Dash,"Adam Schroeder, Christian Mayer, and Ann Marie Ward",ISBN-13: 978171850222,224 pp.
The Recursive Book of Recursion,Al Sweigart,ISBN-13: 9781718502024,328 pp.
Modeling and Simulation in Python,Allen B. Downey,ISBN-13: 9781718502161,280 pp.
Object-Oriented Python,Irv Kalb,ISBN-13: 9781718502062,416 pp.
Make Python Talk,Mark Liu,ISBN-13: 9781718501560,430 pp.
"Black Hat Python, 2nd Edition",Justin Seitz and Tim Arnold,ISBN-13: 9781718501126,216 pp.
The Big Book of Small Python Projects,Al Sweigart,ISBN-13: 9781718501249,432 pp.
Learn to Code by Solving Problems,Daniel Zingaro,ISBN-13: 9781718501324,336 pp.
Learn Python Visually,Tristan Bunn,ISBN-13: 9781718500969,296 pp.
Dive Into Algorithms,Bradford Tuckfield,ISBN-13: 9781718500686,248 pp.
Real-World Python,Lee Vaughan,ISBN-13: 9781718500624,360 pp.
Practical Deep Learning,Ronald T. Kneusel,ISBN-13: 9781718500747,464 pp.
Hardcore Programming for Mechanical Engineers,Angel Sola Orbaiceta,ISBN-13: 9781718500785,600 pp.
Dead Simple Python,Jason C. McDonald,ISBN-13: 9781718500921,752 pp.
Python One-Liners,Christian Mayer,ISBN-13: 9781718500501,216 pp.
Natural Language Processing with Python and spaCy,Yuli Vasiliev,ISBN-13: 9781718500525,216 pp.
"Automate the Boring Stuff with Python, 2nd Edition",Al Sweigart,ISBN-13: 9781593279929,592 pp.
Beyond the Basic Stuff with Python,Al Sweigart,ISBN-13: 9781593279660,384 pp.
Impractical Python Projects,Lee Vaughan,ISBN-13: 9781593278908,424 pp.
Python Flash Cards,Eric Matthes,ISBN-13: 9781593278960,101 cards.
Serious Python,Julien Danjou,ISBN-13: 9781593278786,240 pp.
Mission Python,Sean McManus,ISBN-13: 9781593278571,280 pp.
Math Adventures with Python,Peter Farrell,ISBN-13: 978-1-59327-867-0,304 pp.
Cracking Codes with Python,Al Sweigart,ISBN-13: 9781593278229,416 pp.
"Invent Your Own Computer Games with Python, 4th Edition",Al Sweigart,ISBN-13: 978-1-59327-795-6,376 pp.
Learn to Program with Minecraft,Craig Richardson,ISBN-13: 9781593276706,336 pp.
Teach Your Kids to Code,Bryson Payne,ISBN-13: 978-1-59327-614-0,336 pp.
Doing Math with Python,Amit Saha,ISBN-13: 978-1-59327-640-9,264 pp.
Gray Hat Python,Justin Seitz,ISBN-13: 978-1-59327-192-3,216 pp.
